ReviewerName,Description
Kishan Bagthariya,"It is a good mouse with invisible laser. Easy to hold, robust build quality and DPI is also quite good. I wouldn't recommend this one for gaming. Suitable for office use and normal use.Don't return the mouse saying 'USB missing'. You will find usb inside the back of the mouse right beside the battery."
Amber Abbas,"The mouse looks and works like a charm. It's pretty much excellent for day to day web surfing etc. But, it is NOT a gaming mouse. The DPI just isn't high enough for gaming. Also, somehow when I received the mouse, the pads on the mouse were a little worn out. So, look out for that! All in all, Go ahead! You won't regret it."
Sonal,"I purchased the mouse about 10 months back, and suddenly it stopped working properly.  Even though it has 1 year warranty, I am not able to register the product with Logitech, as the model B170 is not appears to be a logitech mouse model or logitech has stopped providing support to this mouse. Wondering, how Amazon and Cloudtail are selling such a product which is having no support with manufacturer and claiming that it has 1 year warranty. I don't know now, where to reach for getting warranty claim.Otherwise, the product was comfortable in use till the time it worked properly."
Amazon Customer,"Exactly  one month of use, sensitivity became very poor that iam not able move cursor, but scroll and clicks  are working fine. changed battery still the same issue so dissembled the mouse by looking some video's on YouTube and found that the internal wire plug to the sensor was disconnected, fixed it and was working fine."
Suwaid Akbar,This is good only for people with small hands and people who use it for work related accltivity...not suitable for gaming.Product is good.
Amazon Customer,Been  using it for 3 weeks.This are my initial impressions:1. Build - The build quality is good and feels good to hold in hand.2. Design - Stylish.3. Performance - Very easy to use.haven't faced any problems.easily connects and never faced any lag/connection lost issues.4. Duration- as of now working great. will have to check the battery life in long run.and finally a good product for day to day and office usage.
Amazon Customer,The product itself seems to be good and the delievery was quite fast as well but the packaging was pathetic. The box was broken and the product seems to be used. Will update about the product in a months time.
KR,"I have been using this mouse since May 2017 continuously. I never changed the battery. I think I dropped it every single day. This mouse is a rugged, no-frill mouse for daily usage. It is most suitable for people who like a small mouse. It's not exactly small but medium-sized.  After 2 and half years, the scroll button just gave away :( . Buying this mouse again."
Kaustubh Sharma,Better than any other mouse. Had used lot many but this works like a breeze.Using it for a month and better than HP or portronics
Amazon Customer,"This quality is not good, it stopped working in less than 6 months. I bought it on 19 Dec 2019 and today is 20 June 2020. I really disappointed with the performance. Now I think Dell was the perfect brand in the mouse which I used for 4 years without any issue."
Ashutosh Sharma,"Received mouse on time. The quality of the mouse looks very well and solid built. It was easy to set it up just plug n use. Works on every surface. In all, i invested my money in good product and m very satisfied. But i just wonder one thing that isn't the price too much?"
Manveer Singh,"Good mouse for daily usage, I have also done gaming with this mouse and the performance of this mouse was top notch. The size of the mouse is little small but it feels really good in our hand."
Riz,"It's nice, the quality is just great. Once fell off the table, nothing happened. It is just little small to get the proper grip. Else every thing is just right. Easy plug and play"
Santosh Pati,"Good build, very compact and handy. An absolute companion for an ultra-book or a convertible.Edit: Although the mouse is good but after 1 year of usage the scroll wheel has started showing issues. It missed scrolls all the time. Not happy anymore and didn't lasted long"
Vikram,Using this mouse daily for almost 4 months now. No issues so far and really good. Very compact to hold. Great product for this pricing.
Abdul Rashid Dar,"I simply love logitech devices... This 🖱 is awesome, what i like about it the invisibility of optical light...2nd review after use of one monthMy expectations with logictech vanished, the device stopped working... Now do not how it to replace it, still in warranty"
Gautam Sarma,This product is hopeless and I couldn't able to return because the time was over by a day as I was outstationed from 22nd July to 2nd of AugustReally put me in frustration .Lost .Money with satisfaction.It was delivered on 22nd evening.
SWAPNIL,Good laptop mouse for daily use.... Grip is also good... Connectivity is awesome.... Design is great.... Just remember to switch off mouse button downside when you aren't using it.... Otherwise it will eat your battery...
Gururaj,Basic functionality works fine. I don't think this can be used for gaming but this works perfectly fine for daily work. It's a little small for me though.
Amazon Customer,"Very sleek design and sturdy to use. I must say the battery consumption technique is something to look forward to :) Been using it since 3 months and have also forgotten to turn off the mouse several times, still didn't needed to change the battery. Got it for 645/-"
Ashish,I really like this product and replaced my old wired mouse.It is quite durable as I dropped it multiple times but this tiny guy is still with me.
Vijay Singh Rathore,"This is my first wireless mouse and I was unwilling to shred too much money in this. In amazon sale I found this mouse and saw the price to be 499 only. Ordered it. When I went to a shop last night, shopkeeper asked 750 for same model. I refused and waited for delivery by amazon.Just now received it 3 days before expected delivery time.Packing intact and got amused by design of mouse. Simply Fantastic. Plugged to laptop and started working right away. I got 250 rs discount which is huge. Thumbs up."
techloris_109,"Its one of the best mouse i used, so edgy that you can do photoshop and design works. But my mouse stopped working after 1.5yrs of usage. Only in terms of lifetime I`m not satisfied from buying such a popular computing brand"
Pankaj P.,"This is the second piece I am using, having returned the first one. But it is having the same issue. It is not working even at a distance of 3 ft. Having used two of the same products and having encountered same issues, I strongly suggest that you dont go for this model."
Amazon Customer,"Works flawlessly ! Form factor is little small but not uncomfortably small.Ergonomics of clicking and scrolling is good.Surface finish is good for daily use , doesn't soil up or gets greasy.A little higher DPI would have helped in doing precision CAD work well but for the price point it performs optimally well."
Amazon Customer,"its small and handy. i am liking it. only drawback is - it does not have visible optical light. so, it does not become easily evident if the mouse is ON or OFF. I have to explicitly check the ON/OFF button for that."
Darth Vader,"Works as described. Simple plug & play interface.After 8 months of daily usage, the middle mouse button click has started to respond erratically. Sometimes it works, sometimes it doesn't...However, the scroll feature doesn't seem to be affected by it and is working fineAll other functions working as expected. Surprisingly, the AA cell has also lasted more than 8 months and still going strong"
SKB,This is my first wireless mouse purchase & I liked it. Been using it for a month now. No issues yet. My most favourite feature in this is the invisible optical light. The USB receiver storage inside the mouse is also cool.
Karthik S.,"I bought this in May 2017. With an average use of 9 hours on weekdays, the original batteries that came with the pack have lasted till August 2018! This is very comfortable to hold and the connectivity is very reliable. Highly recommended!"
Sid Chatrath,The product has suddenly stopped working for me after using it from last 5 months. Though it worked perfectly for me for few months. But it has started to give me issues. The product is still under warranty and have asked Logitech to support on the said matter.
NiketanG,"Logitech is the best brand in Mouse and keyboard.The mouse is small and compact which makes it easier to carry. The buttons also feel great. Tracking is also great. It would be nice if the grip was made of rubber and not plastic. Another minor issue is that to insert the Nano receiver in Mouse, you need to open the cover below mouse."
Praveen Samudrala,"I use it daily office work and it has never disappointed me. It's comfortable to hold and works better than traditional mouse on many surfaces except on paper, on which traditional red LED mouse seems to work better. It's durable, survived 5 accidental drops. Haven't tried for gaming."
Avinesh Singh,The middle click stopped working after 3 weeks. Tried to reach out to Logitech support for warranty claim but I was asked to physically visit Logitech support center.Build quality otherwise looks good but the scroll is terrible and then middle/scroll click stopped working!
Jumbo,"Very good product. Movement and accuracy of cursor is very sharp and smooth.  It is compact and easy to use. Only thing is that the shape is a bit flat - I  am used to my earlier HP mouse which was a bit round and occupied my entire palm , giving a firmer grip."
Chinmay S Barhale,"It's a very good product. Best part of this mouse is USB connector fits inside mouse body. So when you're not using it, it stays with rest of the device rather misplacing it. Due to its size it's very easy to hold. So far haven't faces any battery issues."
laurel,After using it for  approx 2 years this product is still working nicely and I have dropped it so many times but it got such good durability and the battery life is good. The pan drive which is attached with the laptop is also working nicely.
Anant Deep Khattri,Didn't expected this quality from Logitech as i have been using mouse of Logitech from long back but Scroll of this product got malfunctioned just after one year even i had hardly used this mouse as i have desktop which i use more frequently else it's in terms of performance it's a nice product no lagging.
Crazybeans,The Mouse is just the right size to hold under your palm. It has ridges on the sides which facilitates an easier grip. I love the flat surface and overall shape and size.
Prakash,It is just okay.  But I found the response level a bit on the slower side.  Not as good as my old M215 Logitech wireless mouse that I have been having for over 4 years now.  But this one talks of better battery life.  Need to wait and watch.
Amazon Customer,With Logitech mice you can never go wrong and this mouse is no exception. However before considering to purchase it you should know that1. This is NOT a full size mouse. It's almost the same size as M235. A little bit wider but somewhat thinner.2. It works only with its own receiver. You CANNOT add it to a Logitech unifying receiver.These  are some answers in the Q&A section which create confusion about these two points.
Ambareesh,"Awesome Is the word. .very responsive .. quick connect. .... Good bty life. ... Build Quality is good plastic but be care ... Won t withstand falls or of you loosely put it your backpack and travel , buttons might get Damaged or break."
Nikhil,"Logitech is a very well known brand for computer accessories and it certainly doesn't do any harm to that.A wireless mouse with an elegant design, straightforward functionality, and an economical price tag. There really isn't much to find faults!"
Tej,"Was working all good.. But after just 40 days of purchase, it stopped working. Registered a complaint on Logitech India site. No response.Tweeted to them. No response. Didn't expect this from Logitech.. Deeply disappointed."
Amazon Customer,this this the second purchase of the same mouse. the middle button for design works not working properly. it need to press hard to make the selection. I tried to contact the Product Support Logitech Distributor Service Center in India Tel: 000 800 440 2450. Its unanswerable. paid 599 /-. waste of money. who looking for the design works please don't go with this mice.
Amazon Customer,"Defective product ,mouse not workingno lights on it , changed battery still no luck.didnt recieve the end connector to connect to laptop.Feel cheated as Rs 650 down the drain.My fault that  i didnt check the package in the two weeks return period , hence unable to return it"
Bhupesh Patel,"I just loved this Mouse. Logitech made this product very carefully. Easy to use, scroll is good, grip is perfect, and most importantly left and right clicks working fantastic."
Kaushiki A.,"Definately not for gaming but it's just a normal mouse for dat to day use and will get the job done. At this price I would recommend a wired mouse instead if u r into gaming ,Also note that if u have a big hand this product is not for you the mouse is really small"
Pranjal,Its been developed for normal routine work. Wouldn’t suggest for gaming. Does the job well and is sleek and easy to play around with.
G. Sanjay,Likes: good finish low battery consumptionDislike: on off switch is micro sized needs to b operated by pen or pencil Rest fineOverall 4 star product
Ashish Kapur,"Despite no heavy use, the scroll wheel has started malfunctioning. Its relatively new, but is not functioning properly. Very annoying. Logitech needs some quality control. No one would visit your office for get rs. 600 mouse repaired."
Nani1991,Love to use this product. Purchased this product for the 2nd time as the first one gave me good experience. Unfortunately I lost the one which was bought earlier..
Nischit,"The mouse is good for regular usage. Works without hassle. The lightless feature is good for usage in night.If you are looking for a good wireless mouse for daily usage, then this is a preferred choice"
Priya,"I wasn't sure if this would be a good buy but so far it has exceeded my expectations. I am sure I will be rebuying the product soon for my family and friends.A month or so in, it is still working great."
Amit Verma,Nice In design and flexibility but after use of one month it's click stop working. Firstly wheel not respond.Please improve quality of used equipment in this device according to charged amount of this product.No one have rights to play witb customer's satisfaction.
Balakrishna,Product is good but the signal becomes weak if the Bluetooth receiver is 40-50 cm’s away and if there is anything in between the mouse and the receiver.
sourin roy,Just awesome for regular use! Only a little wierd for gaming. But you get used to it! If you are not a hardcore gamers type and more like a frequent pc user it's for you
Milind Deshpande,"The connecting device to the lap-top is hidden in the battery section. Please make purchaser's aware that it is placed there. I once returned it, thinking it is missing. The next time I insisted the delivery amazon personnel to assist. We both searched for it and located it."
Pradeep Narayanam,"Value for money and good quality. When I received i feel like top button parts are bit delicate. But after fell down from my hand accidentally around 3 times, still working perfectly fine and no damage at all."
Amazon Customer,Hard to believe one can get such a durable product for 500 rs.No lag whatsoever in operating. Mouse is a bit small but ergonomic. Won't be a problem unless you have large hands. Buttons are great. Not intended for gaming.
Haswanth Gorle,"Perfect for daily use , but not for gaming. Sometimes due to lack of rubber grip (body is full plastic) it tends to slip off the hand especially if hands are sweaty(if no mouse pad is used)."
SHUMYANIL R.,I bought this product in Jan. After 6 months it's not working when called Amazon they asked to call Logitech and when called Logitech they asked to visit there service center in Okhla Delhi. For 600 rupees mouse it's not worth to travel and even when they are not sure to give replacement. Poor service and wastage of time.
Abhishek Jain,"Very nice, sides grip is perfect for holding and scroller grip is also perfect, value for money"
Praveen,When there is no bluetooth dongle how can you connect the mouse? It was written on the box that it includes the dongle but I got a replacement as well but neither did contain the dongle.
SUNIL KUMAR SINGH,Product is of good quality. Only thing is its not as big as seen in the picture. Slightly smaller than normal office mouse.
Tarique Jamil,I bought this mouse in June 2020 and it is August 2020 and it has stopped working. I mean it works highly intermittently and with some banging on the desk. I am clueless what to do with it? Is it under warranty replacement? Amazon does not have option for replacement.
Amazon Customer,"This model of Logitech mouse has started giving problems after 3 months itself. The cursor keeps flying on the screen. Didnt expect this . Worst is, now I cant exchange it..."
Amazon Customer,"Since mouse doesn't have any LED light above or below, It is very difficult recognize whether the device is ON or OFF. It will leads to unnecessarily keeping in ON condition and there by fast draining of battery.Everything else with this product is outstanding."
Maanav agrawal,I am highly disappointed as i love logitech products and i got this for my android tv just bcoz it says it has a range of 10m. It didn't work on the tv do i tried it with my laptop but unfortunately then also it doesn't work if the mouse it even 2m away. Please seller contact me as i think the mouse is faulty.
Sushil Kumar narnoli,"the mouse is good for small , middle sized handshighly programmable with ligitech optionsonly con is that the scroll wheel is bit squikey"
Nachiket D.,Excellent mouse perfect for day to day use. It is a normal mouse with superb quality and finishing but not at all for heavy gaming. The Build quality and ergonomics are amazing and doesn't feel any uncomfortable to palm or fingers.
Shinjini,"would recommend for light users of mouse, but it can get very clicky and the noise can be annoying, its good quality, batteries last long and even after dropping a few times, it still works well, except clicking the scroll wheel is slightly problematic"
Himanshu Singh,This is very nice and compact wireless mouse. On inserting the dongle it took just a minute to load the driver and since then it is working perfectly.Those looking for gaming purpose might find the size on smaller side.
athuljestinjoy,the mice is good enough for daily use. Not for gaming. high quality and accuracy. just go for this if u are looking for a  normal use mice. best in this price.
Vijay,Good Quality Mouse. No rubber coat on side. Look like rubber grip. Lite weight and Logitech quality. Clicks are noticeable. Good to Carry.
Alok,I had another model of Logitech wireless mouse. It was very good. This product looked good so I purchased it. Big mistake. When I scroll down or up using the mouse there is a screeching sound. It's little irritating. I don't recommend this model of logitech
Amazon Customer,The product worked decently for 6 months but suddenly the scroll button has stopped functioning with no recourse to replacement.This has been an issue with many other buyers too and I suggest you refrain from buying this project.
Rita Gaur,The mouse when moved horizontal takes the cursor diagonal. Unable to replace as I threw the name tags and packing
Shourya Pratap,This mouse fells and looks really goodSensor is very good on almost all kind of surface.Received this with a preinstalled cell.Only thing I felt bad was it's size is half of my palm and makes it little bit hard for gaming.
RG,"In my earlier review i mentioned that the UBS device was not provided by the seller. Actually it was inside the mouse so not visible. So people who order it, do check the UBS device on the left side of the battery slot."
Nyhna da Cunha,"The product works really great. I have no concerns with it.Only thing, when I received it, the battery inside it wasn’t working and hence I’ve given it a lower rating."
prashanth,Doesn't work well pointer moves hapazardly worst product tested with another mouse of my friend same problem. Don't buy.
Prajwal Dhatwalia,Pros:1. Well built2. Inbuilt slot for storing USB connector3. Perfect weight distributionCons:1. Slightly small for MY hand2. Slightly pricey
Laraib khan,All total products are ghatiya and takes high price gets cheap products please don't buy any products currently I was book a Denver deo but today I am receiving Denver talc and no return option for this product so today's i decided that I will not purchase any things from Amazon
Sunil Kumar,"Looks Good. just plugged it and it worked fine.But when I checked it with Logitech there is no model named B170. Logitech has model M171 with same design.Also, the s/n on the mouse and the box are different, and when you try to search the product with the s/n with Logitech it says ""No Product found with the given serial number""."
Amazon Customer,"Serial number on the box and on the mouse were different which might go on to say that the product might be spurious. Ordered a replacement, still the serial numbers did not match....have requested a refund."
Amazon Customer,The best ever of its kind.right from battery life  to accuracy. Can't deny to rate 5 at the price i got rs 500. I dont use for gaming so i dont know
Amazon Customer,Logitech wireless mouse is best bang for the money. It works very smoothly. Battery lasts for long time. Ergonomically designed and very comfortable to use. Definitely recommended. Hope it lasts for couple of years....
Deep,"I am almost nearing to the second year with this mouse, still, I haven't changed the battery. Durability and the hold of the product are top notch. If you're looking for a mouse in the budget and highly durable this will be the best choice.Note;- My usage is limited to 1 to 2 hours per day, an average of 5 to 6 hrs per week."
Harsha,This was the first and Best wireless mouse I ever used even after 2 years it is working like magic...
Palak,"Didn't like the packaging though.. I like the mouse.. easy to hold .. can work on lap , table , clothes , bed .... Everywhere...I loved it ... Working properly..."
Ritesh kaushik,"A bit slippery, should have a surface providing grip. Doesn't feel comfortable while holding bcs of the grip and chances of slipping from hand.Rest light weight and made tough , resoponse is also great. Still i fell prices are a bit high though. If proded better grip surface would have been a plus point. rest its a great product go for it"
Venkatesh,"Stopped Working, used for 2 months and 12 days. Mainly used for smart TV. Since bought for 500 not going to spend time and effort on warranty. It's going to Trash."
Manan Jain,"Worth of it ..Just Bought it for 499 Good performance, I am satisfied by quality , Small in size, Running with windows 7 and OTG supportable mobiles also.Alkaline battery is already fitted, its just ready to useOverall good looking and nice product"
Mohan iyer,A good quality product. The irritating infrared light is not there in this product and hence the battery last longer almost thrice .
Swati Banerjee,"After 6 months of moderate use, the scroll wheel is defective. It behaves abnormally. Hence the mouse becomes useless. No sign of wear and tear though."
Tamal Bhowmick,Bluetooth range is awesome 👌Small and cost effective!!Easy to set up!!Highly recommended!!
PSB,Its never happened as I use a lot of Logitech Stuff but this one conked off in just 90 days. Not happy that I am stuck with a purchase that I cannot return despite it being a faulty piece. It sucks!
Amazon Customer,"mouse not working after use of 6 month. there is no way to contact to seller, even amazon dont have proper contact detail, they provided me one gmail id, no response from that id, even after doping so many mail, not able to replace it even t is under warranty"
Vincent,Yes the product is good.. the built quality is quite good. It’s does flash the red light it’s invisible.. that’s what I like and it works well I give 2 star for the packing..
Jiju PV,Value for Money Product. Nice Design & Grip of mouse is one of the best feature I Found.
Andrew Goel,Good product overall. I never used it while gaming. I am a script developer and it work great for me in office
Abhishek Panda,Very nice...Just charge for 4 hours and enjoy musicSound quality is so good as always it's of Sony so no doubtI loved itConnection through Bluetooth is working good but I still couldn't figure out what's use of NFC
Santosh,"I bought this for a daily office use and its good for that matter, although its little small in built but its fine and doesn't causes much"
Ponnuru Mahendra,Good Product. Value for money. Battery life is long. Only problem is the click sound is loud and creates discomfort in meetings
VINOD VERMA,It does what it is supposed to do.You will find the same item at your local market may be at lowerprice.Nothing special discount offered here
Krishna,"I have been using this product for months and writing this review.Pros:1.Never changed battery till date(even forgot to switch off the mouse sometimes)2.Compact and easy to use.3.Connect and never worry a bit.Cons:Have not faced any.So if you are thinking about this product, go for it without any doubt."
Lohith,"Writing after more than year usage. Very good quality. I dint kw how many times it fell from my hand but still going smoot without any issues. Very comfortable to hold and work. Go for it, 5* from my end"
Yash Khant,The mouse size is little smaller as compared to other mouse so it is not comfortable to operate.So please check the size of mouse before buying
Athul Basil Kalarikkal,Good mouse. Works just fine.And worth the price. Bought it for less than 600.
Umang Taneja,1. Works excellent with Macbook air2. Right ergonomics3. Matt finish is good to holdI recommend the product
rohit singh,This wireless from Logitech serves the purpose. It's well-built and fits snugly in both mine and my dad's hands.No complaints at all.
Shaji A M,"Waste product. Waste of money. B170 optical mouse scroll wheel gone faulty within warranty period, not able to create complaint in logitech support site or by phone. Its annoying. Need to throw away, no other options."
BG,Just plug and play..Works like a breeze! It also have a on/off button to save battery. Too good.
Amazon Customer,"Firstly, the mouse is as shown in the pictures with no change in design.It has a smooth but firm texture, with grips on the sides for more handling.The tacking speed and pressure are all adjustable , and this works perfectly for both Windows and Mac computers.It is a Value for Money product, and those who are looking for mice which are economical but of high quality this is my suggestion to you."
Amazon Customer,This was bought after looking at weight in grams. There are colleagues who are using bluetooth mouse but it was pain when you switch from wired to wireless.This was really worth it. It feels almost same like wired while handling
Ancy Fernandes,"I ordered it on 7th July and by 10th August, it has stopped working for no reason, just out of the blue. I’ve switched batteries but that doesn’t help.Looking at others reviews, seems like this Seller sells devices which won’t last long"
AmZoneSynced,Battery life is expected to run as good as the battery inserted and durability I assume... the quality is good to last a good time. Good medium size .. instant use.
Ridim,Bad rating because In under 9 months the scroll button has stopped working. Didn't expect this from Logitech. The product shant vibe with a warranty.
Bala,The light didn’t glow when turned on so I thought it wasn’t working. I understand that in this mouse the light doesn’t glow al the time but the mouse works.
Guru U.,perfect wireless mouse. good shape to hold and easy to use. very satisfied with it's performance
Hari,"For all who are going to buy this mouse.Please don’t return it just because the wireless usb receiver is missing!!It is hidden in the mouse next to the batteryOverall the mouse is pretty good.But,way smaller than u expected!!👍🏼👍🏼"
ONGC A/C KARTIK MODI 121452,Product perfectly as described.  Must buy for all the laptop users at home as wells as office. Functions very flawlessly. No red laser light. It have invisible laser which i think shall increase battery life. It design is ergonomic and its easy to hold.
BISWAJIT SENAPATI,I bought this for my Macbook Air and it is not working as smoothly as it does in Windows.. Don't know why...
Kindle Customer,"Scroll issue came up within 2 months. Then, I researched online and found it is common with this model mouse. Go for other Logitech mice and not this."
Lopamudra Tripathy,"Good to have this product. Does the job and the battery life is good, doesn't drain out the battery. Never tried it for gaming though so can't comment on that. Good for normal use."
Akshaya shahi,"The product seems to be good but the flash light at the back of mouse is not working with which i initially thought that the mouse is not working and i have been delivered the defected piece which actually is defected, also i couldn't find any exchange option"
pavan,"Given the size is soo compact its performance is good, it works fine even on uneven surfaces like bed.durable and compact"
Vikas,"Its good, not for people with big hands since the mouse comparatively a little bit smaller than a standard mouse.Build quality looks good enough, i like the fact that there is no light blinking (personal opinion though)."
Sunil R.,"Have been using this mouse for about 2 yrs now. No problem what so ever. Very easy installation and comfortable to use for day to day activities. Most importantly, have not changed its battery since I am using it.. Means the power consumption is also good. Overall nice product."
Brijesh,awesome mouse. using for almost 6 months no issues nothing. works like a butter. receiver is so nano that you wont feel its in the port. superb quality. just go for it. battery life is awesome still using stock battery...where i've not replaced till date. logitech is best.
kamala,"Light was not working on the first piece.Asked for a replacement which the seller promptly replaced. Light not working on second mouse also but I decided to retain it, since it was otherwise working."
Samarth,Defective product. The cursors hangs or has lags when moved on the screen.Couldn't get a replacement due to lockdown
Partha Pratim Das,"Rugged and Reliable brand......had been using their various models for years, no complaints."
Amazon Customer,"I got this product for working on my laptop for MS Office tools and online research. This is an awesome product at such price and it has served my purpose. Though the feel could be improved by using better body material and better holding angle (surface arc can be a benchmark). Overall, great product with good battery duration."
Akhil Vijayan,Just got it today. Initial satisfaction is great. Good build. Easily connected to my Laptop.Its very ergonomic..your palm just fits on to the top.
Amazon Customer,"Comfortable and smooth, comes with an on-off switch to save battery. Overall a great buy and definitely better than the Dell WM126 which I had purchased before this. Go for it without any doubts."
Sanju,Very User friendly and ergonomic. It has been 3 years now. No complaints yet. I personally recommend this brand.
@thatdudeisindian,the product is good but for my hand it is little bit small. light weight product i'm afraid that i might broke if i handle it rough. i'll give 3.5 for this product. i would suggest if you can invest 200 rupees more please go for the other logitech product. over all you can buy the product but you have to handle it little bit smooth. note that it's not a gaming mouse.
Radha B,"Product is good,  but the issue is with seller.At first we received it with different serial num on box and mouse and used one, one can clearly see scratches. When we raised replacement request,this time also different serial num at least we got new one. Don't recommend this seller"
rahul purohit,Although I returned mine but I feel they are best in this range. I got then for 599 which was a pretty sweet deal. If you cannot afford much go for them otherwise MX master 2 are really nice for a good budget
Amazon Customer,It was hard to find the receiver. Its inside mouse when you open the back cover of the mouse. The product is really good 5 *.
Buyer certified,brought this in june; guys in like 5 monthsscroll wheel button is not working at all....I repeat guys the scroll wheel button is not working..... don't buy it for professional use.... please
Amazon Customer,"I am using this mouse since last one month. working very good, easy to handle, comfertable size of its for both gender. Only negative point what I feel, It make little more sound during the clicking. Otherwise all other featurs are good."
Chinmay.,Side texture allows a firm grip. Can be comfortable if you have small sized palm and fingers. Invisivle optic makes it difficult to understand whether the mouse is ON or OFF. Sensor is not capable for gaming. Might observe lag while gaming.
Vanik,"I had to buy two of these because I lost one in my computer lab, and had ot buy this to support my gaming laptop after my Thesis."
Prajwal S Bhujbalrao,Product is really good. It is light weight and small. My hand big ones but i dnt see any problem while using it. 👍🏻For the product. But when i opened the packet and check the mouse i found that it has scratches on below surface. This scratches shows that this mouse is used one. Soo 👎🏻 For the seller.
Parth Sachdev,It's almost a year since I have bought the mouse and I didn't have to change the battery even once. It does not have a red light on its bottom which makes it very last long without changing batteries. But it is not very quiet like many other mouses.
Manoj Gupta,"Technically good product, no issues with it what so ever.But me being a tall person with little big hands , it just feels too tiny and uncomfortable in hand for long usage specially if one's looking to use it for work. Casual usage may be fine."
Amazon Customer,Clicky buttons.. scrolling is a bit rough.. little small to my liking..
Ritwik P.,"Really good, the size is a little small but it is really ergonomic and does not interfere with your work, you're able to work easily and the grip and sensitivity is great too. The buttons and mouse wheel have a nice click to it."
Bimol RJ,Hurry to get a new mouse ...saw this and ordered it... Good  item ..good gaming support as well ...i think its good because of the higher DPI
Shoeb Rupani,The mouse is ergonomic but it's still on the flater side on the curvature. Yet its decent enough at its price point.
Rubin,"The mouse was not new. It was used earlier. Fortunately it is working. Return of Amazon ordered products are big hassle. Many times you don't get the money back. And even worse is that many times the return is not recorded.So, satisfied with the pre used mouse!"
".Adnan ""kaka"" Rayees","Personally love heavy mouses, nit-picking here, but its Too small even for small hands, doesn't sit well and is very light, even the sound of the click really starts getting on the nerveBut if you are on the lookout for a cheap wls mouse that's tiny enough to fit anywhere look no further!!"
piyush chandrawanshi,It's been 2 years since I've been using this mouse.It's really goodGood rangeIt's comes with a pre-installed battery cell and I've not changed it since I bought it. The cell it came with is still going good .
Pankaj,"Mouse is very comfortable to use but within 3 months scroller stops working, and it sucks to work with this mouse on programming. If you are going to use this mouse for programming, then choose another or better to go with touch mouse if available."
Satish,"I had ordered this a day before and it got delivered on another .Pros1) no setup required , just plug and start using2) nice build quality .Cons1) small to use wrt to wired mouse2) too light to handle ."
Joseph,"a very good product from logitech, although the price is a little more it is worth every single penny, has fallen down several times and still no problem. fits in the hand well and love the design. 4 stars only because this is my first wireless mouse and i donno how good it is compared to other products out there."
Shreekant,Works well from any corner of my room. Takes less space in my office bag and the secret space of its adapter inside the mouse was a good idea of the manufacturer.
Hello Boss,"Good product, have been using for 6 months now.It's pretty small in the hands.Convenient for moderate use.Not preferred for gaming.Happy with the product, infact this is my 2nd purchase."
SAMIR MARDA,"Very good to use wireless option mouse, smooth, easy to click & scroll... but no lighting by it’s invisible option...."
Simran,Not Working after 4 Months . Please let me know how to claim warranty
deepmoni hazarika,holds nicely in the hand. good quality build. the mouse wheel is smooth and rolls nicely.have not used long enough to know about the battery life.
shinuak,"Its very useful, light and moreover it takes of the strain from your hands and finger compared to the trackpad on laptops. Its a very nifty accessory for laptop users. Pairs very easily and the battery also seem to last good."
Praful,A quality product by Logitech. Came along with a Duracell battery which has a long life. Prompt delivery by Amazon.Overall satisfied with the purchase and delivery experience.
Hemal,I have gone ne through various option on this site and finally choose this product. Logitech is known for durability and this is the one of  best wireless mouse.
Amazon Customer,Good mouse but size is too small. Doesn't fit for men's hands.  Good for girls/women's hands. My fingers were crossing 1 inch in front of mouse and if I try to keep them on buttons then there was no support for palm.Returning  :(
Vinay Rawat,It is a perfect size mouse for me. Ergonomics is great and can be carried anywhere easily.
Avinash,Love this piece. It's a must for all who r looking for quality product. The range is good as well.
Eke,"Better for office use or short work purpose, as it's tiny in size don't think for playing games"
Amazon Customer,Nearly 1 year have been completed and haven't changed the battery. Requires only one battery and has a slot to keep the receiver inside the mouse while not in use for long time. Can be used as ppt slide changing device and works for even a lengthy auditorium. Has invisible light so it does not harm your eyes and it is an energy saving technique.
Sandeep Saksena,Mouse worked perfectly and precision is good. Usb adapter worked without fuss in my laptop and came with a battery already installed. Sizenis compact which I was looking for.
Yahiya,It doesn’t have an indicator. We can’t recognise whether the mouse is on or off until we use it...
Yogesh G.,I have been using it for 3-4 months now. It is working perfectly fine as expected. Amazon's delivery is awesome. You should go for this without a second thought at this price.
Probal Acharyya,"I have been using the product since its delivery and its been 19 days now. Have no complaints so far. Very smooth, swift and also look wise good."
SUBHAM DAS,For any lite and office purpose nothing can be best than this item at this price
Amazon Customer,"Pathetic product. Not working within 5 monhs of purchase. It's not getting detected by the laptop now. Tried in different laptops, changed the battery in the mouse, still no improvement. Sometimes it gets detected, sometimes it's not."
RISHI RAJ,The product is highly beneficial if your use is for normal professional stuff or moderate use. For gaming it is okay I can say but try a higher end if you want go for gaming. Overall a value for money and a durable product.
Chaitanya,The mouse is so small compare to the dell Ones. The size of the mouse is same as your palm.
Sagar Dalvi,"Good ProductGood Grip while using.I am using since 3 months.Now Feb 10, 2019 I am writing this note . Bluetooth range is good but Left click is gone, not working properly. so I am going to order Wired Mouse of Logitech or HP, which is reliable and OK."
Sarat Kumar,"Battery life is ok. Build quality is excellent. Logitech devices are known for their durability. Install logitech options software(not included in package, download from official website) for reconfiguration of buttons, sensitivity and more options for mouse."
